,umur,produk,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,warna_kulit,tone_kulit,value
2784,18 and Under,C White Lightening Serum,4.8,8,Shopee,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
2786,19 - 24,C White Lightening Serum,4.1,724,Instagram,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,0,5,Medium,Neutral,1
2788,19 - 24,Ultralight Hydraglow Day Cream,4.6,19,FD Flash Sale,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
2792,19 - 24,Ultralight Hydraglow Day Cream,3.9,147,Shopee,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Light,Cool,1
2793,19 - 24,C White Lightening Serum,4.3,148,Instagram,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,0,5,Medium Light,Neutral,1
2794,19 - 24,C White Lightening Serum,4.2,487,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,0,5,Light,Cool,1
2818,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.3,1301,Shopee,Sun Protection,Moisturizer,Oily,1 week - 1 month,0,5,Medium Light,Neutral,1
2843,18 and Under,Anti Acne & Brightening Serum,4.9,784,FD Try and Review,Acne Treatment,Treatment,Normal,1 week - 1 month,1,5,Medium,Neutral,1
2847,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.9,1250,Facebook,Sun Protection,Moisturizer,Combination,1 week - 1 month,0,5,Medium Light,Neutral,1
2870,18 and Under,Anti Acne & Brightening Serum,4.8,12,Shopee,Acne Treatment,Treatment,Oily,1 week - 1 month,1,5,Medium,Neutral,1
2873,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.9,216,Shopee,Sun Protection,Moisturizer,Oily,1 month - 3 months,1,3,Medium,Warm,0
2874,18 and Under,Matte My Day Hydraveil Primer Serum,3.7,680,Tokopedia,Corrector \\u0026 Primer,Face,Normal,1 week - 1 month,1,5,Light,Warm,1
